numero,valor
1,380873
2,595516
3,494134
4,914856
5,886117
6,187701
7,1331762
8,81478
9,992340
10,1381445
11,980205
12,571189
13,1043224
14,894448
15,721255
16,649576
17,700133
18,288095
19,297109
20,1446984
21,406089
22,1156133
23,952699
24,380523
25,892264
26,1482001
27,435079
28,1260429
29,211001
30,408610
31,1044125
32,717842
33,979083
34,706981
35,582752
36,799974
37,227071
38,892402
39,700984
40,826655
41,447241
42,1248647
43,727527
44,1127158
45,1411028
46,1495656
47,709936
48,285969
49,1272325
50,1269989
51,1147401
52,539834
53,1040262
54,430046
55,256900
56,542932
57,1023024
58,120909
59,1215757
60,1169862
61,716463
62,1465988
63,596146
64,266451
65,740846
66,460776
67,83358
68,222161
69,1226385
70,1035171
71,241301
72,403153
73,572566
74,538572
75,1171387
76,878695
77,576400
78,346829
79,1314452
80,630624
81,223475
82,1486083
83,1334394
84,1492674
85,1089358
86,160985
87,146087
88,793794
89,1445637
90,1135968
91,528701
92,326700
93,851472
94,1144887
95,398309
96,234367
97,1311888
98,562995
99,1134305
100,1422514
101,87666
102,891135
103,566405
104,839702
105,16385
106,493285
107,512770
108,1174742
109,3699
110,1319593
111,1046838
112,66352
113,1030115
114,482902
115,155582
116,205722
117,948493
118,731613
119,83093
120,474642
121,828151
122,190925
123,375336
124,302789
125,746457
126,31523
127,1338236
128,898466
129,314251
130,1407861
131,305948
132,174559
133,1085043
134,687829
135,668437
136,710291
137,51656
138,1188987
139,266259
140,1035059
141,329506
142,1337681
143,891038
144,392867
145,900129
146,960485
147,1029258
148,381670
149,1160386
150,330584
151,160792
152,1465867
153,76991
154,1355534
155,283804
156,441520
157,672262
158,213964
159,793217
160,527715
161,839646
162,496434
163,244719
164,188844
165,308953
166,575099
167,234634
168,599163
169,757594
170,1408207
171,689432
172,498264
173,1171493
174,1090562
175,498782
176,931857
177,165274
178,1365961
179,1409756
180,705772
181,1205965
182,571335
183,264702
184,1290089
185,254792
186,238297
187,1431956
188,737284
189,718027
190,173601
191,248105
192,22994
193,439234
194,508083
195,495085
196,565794
197,440148
198,955495
199,557346
200,330194
201,89171
202,912266
203,304633
204,62649
205,1095022
206,915315
207,67135
208,706820
209,401692
210,1083228
211,1089980
212,814114
213,319895
214,485491
215,336003
216,328402
217,1159297
218,938967
219,660918
220,857733
221,370843
222,1213385
223,734583
224,520332
225,1323803
226,1493483
227,660042
228,21157
229,714226
230,397435
231,50495
232,4993
233,1084295
234,1026270
235,166418
236,1046638
237,316894
238,1007535
239,882946
240,822010
241,492690
242,930171
243,226218
244,1446667
245,1284999
246,702768
247,232776
248,894795
249,1469697
250,477971
251,956514
252,1112235
253,1303475
254,367174
255,1419576
256,557314
257,1173314
258,1060182
259,598111
260,183932
261,342701
262,315013
263,469805
264,1271311
265,650743
266,1483349
267,1224652
268,580443
269,784068
270,546990
271,820589
272,1498220
273,710251
274,1415296
275,1449814
276,1185405
277,386250
278,1326981
279,225624
280,537974
281,190737
282,977768
283,772996
284,1203837
285,869478
286,576710
287,708438
288,1007320
289,467323
290,42115
291,129329
292,143270
293,111204
294,198052
295,331303
296,809849
297,570872
298,347956
299,921127
300,1419441
301,1490317
302,461980
303,1044254
304,1304734
305,3026
306,867757
307,1009296
308,4175
309,873520
310,366520
311,1367941
312,394895
313,1348579
314,1035
315,1206279
316,1410269
317,375519
318,1219260
319,774622
320,261172
321,1425723
322,761196
323,1418614
324,574242
325,764337
326,270788
327,1174163
328,1089792
329,1213422
330,698461
331,482161
332,846561
333,947031
334,952759
335,1003510
336,266360
337,470124
338,387493
339,1158565
340,557651
341,1285434
342,866036
343,526453
344,1197295
345,1491294
346,1009978
347,982310
348,251012
349,527162
350,813262
351,864725
352,68353
353,1130857
354,170759
355,1123844
356,185329
357,488879
358,1163611
359,914978
360,372122
361,1185694
362,717542
363,660539
364,14749
365,699667
366,448403
367,684131
368,103226
369,798811
370,690890
371,788016
372,1126408
373,1439098
374,326490
375,1350571
376,1005182
377,967557
378,285764
379,1432615
380,1322715
381,1192198
382,712465
383,1147071
384,134819
385,993574
386,991873
387,1182508
388,1058005
389,702457
390,96680
391,456339
392,935106
393,38099
394,1012471
395,988624
396,453836
397,708553
398,757250
399,34239
400,682552
401,1074343
402,6111
403,1324566
404,363953
405,1112211
